OEM,Slice,GroundTruth,ExpectedSystem,ExpectedCategory,GoodTokens,ExpectedMake,Chassis,Prefix5,Mode,EnrichmentLevel,HttpStatus,ElapsedS,IsTimeout,Total,SearchStrategy,SourceStrategy,Confidence,FirstDesc,FirstBrand,FirstCategory,AftermarketCount,AftermarketSample,SpecsCount,VehiclesCount,DocsCount,HasSupersession,OEMNumbersCount,OEMNumbersSample,WarningsCount,Warnings
99240-Q5500,real_hk_unseeded,exists,Unknown,Unknown,,Hyundai/Kia,Q5,99240,combined,full,200,0.51,False,0,hk_scope_rejected,,0,,,,0,,0,0,0,false,0,,1,This OEM format looks HK-shaped but the prefix is not in the Hyundai/Kia catalog.
82460-CV010,real_hk_seeded,exists,Body,Power Window Motor - Front,"power,window,motor,front",Hyundai,CV,82460,combined,full,200,3.01,False,2,combined,"cache,prefix_inference",0.9975,"Electric Motor, window regulator (Front Right) for Hyundai Staria (2021+)",Hyundai," / Electric Motor, window regulator",0,,0,0,0,false,0,,0,
58411-CV200,real_hk_seeded,exists,Brakes,Brake Disc - Rear,"brake,disc,rear",Hyundai,CV,58411,combined,full,200,2.19,False,2,combined,"cache,prefix_inference",0.9975,Brake Disc for Hyundai Staria (2021+),Hyundai,Brakes / Brake Disc,0,,0,0,0,false,0,,0,
87610-P1070,real_hk_seeded,exists,Body,Exterior Mirror,"exterior,mirror",Kia,P1,87610,combined,full,200,3.14,False,1,combined,"cache,prefix_inference",0.9975,Outside Mirror for Kia Sportage (2021+),Kia, / Outside Mirror,0,,0,0,0,false,0,,0,
94011-R5210,real_hk_coarse,exists,Electrical,Audio & Display,"audio,display",Hyundai/Kia,R5,94011,combined,full,200,3.18,False,0,combined,,0,,,,0,,0,0,0,false,0,,0,
05203-DW400,real_hk_unseeded,exists,Unknown,Unknown,,Hyundai/Kia,DW,05203,combined,full,200,0.53,False,0,hk_scope_rejected,,0,,,,0,,0,0,0,false,0,,1,This OEM format looks HK-shaped but the prefix is not in the Hyundai/Kia catalog.
92101-A9440,real_hk_seeded,exists,Electrical,Headlight - Front Left,"headlight,front,left",Kia,A9,92101,combined,full,200,5.17,False,1,combined,"cache,prefix_inference",0.9975,Headlight for Kia Carnival (2014-2020),Kia,Electrical / Headlight Assembly,0,,0,0,0,false,0,,0,
58101-L1A02,real_hk_seeded,exists,Brakes,Brake Pad Set - Front,"brake,pad,set,front",Hyundai,L1,58101,combined,full,200,8.58,False,2,combined,"cross_brand,cross_reference,legacy,exact_oem",1,"Brake Pad Set, disc brake",DELPHI,,1,DELPHI:LP3732,1,0,0,true,1,:,0,
95460-Q5700,real_hk_coarse,exists,Electrical,Sensors & Modules,"sensors,modules",Hyundai/Kia,Q5,95460,combined,full,200,3.36,False,0,combined,,0,,,,0,,0,0,0,false,0,,0,
12413-04103,real_hk_unseeded,exists,Unknown,Unknown,,Hyundai/Kia,04,12413,combined,full,200,0.97,False,0,hk_scope_rejected,,0,,,,0,,0,0,0,false,0,,1,This OEM format looks HK-shaped but the prefix is not in the Hyundai/Kia catalog.
92402-P1120,real_hk_seeded,exists,Electrical,Tail Light - Rear Right,"tail,light,rear,right",Kia,P1,92402,combined,full,200,4.18,False,1,combined,"cache,prefix_inference",0.9975,Combination Rearlight for Kia Sportage (2021+),Kia, / Combination Rearlight,0,,0,0,0,false,0,,0,
82460-DW000,real_hk_seeded,exists,Body,Power Window Motor - Front,"power,window,motor,front",Hyundai/Kia,DW,82460,combined,full,200,4.32,False,1,combined,"cache,prefix_inference",0.9975,"Electric Motor, window regulator",Hyundai / KIA," / Electric Motor, window regulator",0,,0,0,0,false,0,,0,
92402-K0510,real_hk_seeded,exists,Electrical,Tail Light - Rear Right,"tail,light,rear,right",Hyundai/Kia,K0,92402,combined,full,200,5.12,False,1,combined,"cache,prefix_inference",0.9975,Combination Rearlight,Hyundai / KIA, / Combination Rearlight,0,,0,0,0,false,0,,0,
91510-M7792,real_hk_coarse,exists,Electrical,Wiring Harness,"wiring,harness",Hyundai/Kia,M7,91510,combined,full,200,3.18,False,0,combined,,0,,,,0,,0,0,0,false,0,,0,
99240-P2000,real_hk_unseeded,exists,Unknown,Unknown,,Hyundai/Kia,P2,99240,combined,full,200,1,False,0,hk_scope_rejected,,0,,,,0,,0,0,0,false,0,,1,This OEM format looks HK-shaped but the prefix is not in the Hyundai/Kia catalog.
97134-AT500,real_hk_seeded,exists,HVAC,Cabin Air Filter,"cabin,air,filter",Hyundai/Kia,AT,97134,combined,full,200,5.05,False,1,combined,"prefix_inference,cache",0.9975,"Filter, interior air (Rear)",Hyundai / KIA,HVAC / Cabin Air Filter,0,,0,0,0,false,0,,0,
92101-DW000,real_hk_seeded,exists,Electrical,Headlight - Front Left,"headlight,front,left",Hyundai/Kia,DW,92101,combined,full,200,3.23,False,1,combined,"prefix_inference,cache",0.9975,Headlight,Hyundai / KIA,Electrical / Headlight Assembly,0,,0,0,0,false,0,,0,
92402-CV050,real_hk_seeded,exists,Electrical,Tail Light - Rear Right,"tail,light,rear,right",Hyundai,CV,92402,combined,full,200,4.17,False,1,combined,"cache,prefix_inference",0.9975,Combination Rearlight for Hyundai Staria (2021+),Hyundai, / Combination Rearlight,0,,0,0,0,false,0,,0,
92409-R0010,real_hk_coarse,exists,Electrical,Tail Light Assembly,"tail,light,assembly",Hyundai/Kia,R0,92409,combined,full,200,3.22,False,2,combined,"cache,prefix_inference",0.9975,"Charger, charging system (Front Right)",Hyundai / KIA," / Charger, charging system",0,,0,0,0,false,0,,0,
12492-03101,real_hk_unseeded,exists,Unknown,Unknown,,Hyundai/Kia,03,12492,combined,full,200,0.85,False,0,hk_scope_rejected,,0,,,,0,,0,0,0,false,0,,1,This OEM format looks HK-shaped but the prefix is not in the Hyundai/Kia catalog.
26310-2T200,real_hk_seeded,exists,Engine,Oil Pan,"oil,pan",Kia,2T,26310,combined,full,200,3.31,False,1,combined,"cache,prefix_inference",0.9975,Brake Disc for Kia Optima (2010-2015),Kia,Brakes / Brake Disc,0,,0,0,0,false,0,,0,
54650-J5060,real_hk_seeded,exists,Suspension,Shock Absorber - Front,"shock,absorber,front",Hyundai/Kia,J5,54650,combined,full,200,2.42,False,2,combined,"cache,prefix_inference",0.9975,Shock Absorber,Hyundai / KIA,Suspension / Shock Absorber / Strut,0,,0,0,0,false,0,,0,
92102-DW100,real_hk_seeded,exists,Electrical,Headlight - Front Right,"headlight,front,right",Hyundai/Kia,DW,92102,combined,full,200,4.23,False,1,combined,"prefix_inference,cache",0.9975,Headlight,Hyundai / KIA,Electrical / Headlight Assembly,0,,0,0,0,false,0,,0,
23226-2T000,real_hk_coarse,exists,Engine,Cylinder Head & Valvetrain,"cylinder,head,valvetrain",Kia,2T,23226,combined,full,200,3.21,False,1,combined,"cache,exact_oem,legacy",0.937125,PLATE - ADAPTER,Hyundai / KIA,Engine / Cylinder Head & Valvetrain,0,,0,0,0,false,0,,0,
99910-R0BA0,real_hk_unseeded,exists,Unknown,Unknown,,Hyundai/Kia,R0,99910,combined,full,200,0.53,False,0,hk_scope_rejected,,0,,,,0,,0,0,0,false,0,,1,This OEM format looks HK-shaped but the prefix is not in the Hyundai/Kia catalog.
92401-H9200,real_hk_seeded,exists,Electrical,Tail Light - Rear Left,"tail,light,rear,left",Hyundai/Kia,H9,92401,combined,full,200,4.15,False,1,combined,"prefix_inference,cache",0.9975,Combination Rearlight,Hyundai / KIA, / Combination Rearlight,0,,0,0,0,false,0,,0,
92830-R0000,real_hk_coarse,exists,Electrical,Lighting - Headlights,"lighting,headlights",Hyundai/Kia,R0,92830,combined,full,200,2.1,False,1,combined,"cache,exact_oem,legacy",0.937125,CLIP - ROOM LAMP MTG,Hyundai / KIA,Electrical / Lighting - Headlights,0,,0,0,0,false,0,,0,
80620-R0000,real_hk_unseeded,exists,Unknown,Unknown,,Hyundai/Kia,R0,80620,combined,full,200,0.78,False,0,hk_scope_rejected,,0,,,,0,,0,0,0,false,0,,1,This OEM format looks HK-shaped but the prefix is not in the Hyundai/Kia catalog.
92102-DW110,real_hk_seeded,exists,Electrical,Headlight - Front Right,"headlight,front,right",Hyundai/Kia,DW,92102,combined,full,200,3.13,False,1,combined,"cache,prefix_inference",0.9975,Headlight,Hyundai / KIA,Electrical / Headlight Assembly,0,,0,0,0,false,0,,0,
92101-D9120,real_hk_seeded,exists,Electrical,Headlight - Front Left,"headlight,front,left",Kia,D9,92101,combined,full,200,4.36,False,1,combined,"cache,prefix_inference",0.9975,Headlight for Kia Sportage (2015-2021),Kia,Electrical / Headlight Assembly,0,,0,0,0,false,0,,0,
54650-G8000,real_hk_seeded,exists,Suspension,Shock Absorber - Front,"shock,absorber,front",Hyundai/Kia,G8,54650,combined,full,200,2.29,False,2,combined,"cache,prefix_inference",0.9975,Shock Absorber,Hyundai / KIA,Suspension / Shock Absorber / Strut,0,,0,0,0,false,0,,0,
49300-N9000,real_hk_coarse,exists,Drivetrain,Transfer Case / 4WD,"transfer,case,4wd",Hyundai,N9,49300,combined,full,200,3.15,False,2,combined,"cache,prefix_inference",0.9975,"Propshaft, axle drive for Hyundai Tucson (2020+)",Hyundai," / Propshaft, axle drive",0,,0,0,0,false,0,,0,
97133-AO000,real_hk_seeded,exists,HVAC,Cabin Air Filter,"cabin,air,filter",Hyundai/Kia,AO,97133,combined,full,200,3.21,False,2,combined,"cache,prefix_inference",0.9975,"Filter, interior air",Hyundai / KIA,HVAC / Cabin Air Filter,0,,0,0,0,false,0,,0,
82412-C7000,real_hk_coarse,exists,Body,Glass / Windshield,"glass,windshield",Hyundai/Kia,C7,82412,combined,full,200,2.11,False,1,combined,"cache,exact_oem,legacy",0.937125,HOLDER - DOOR GLASS,Hyundai / KIA,Body / Glass / Windshield,0,,0,0,0,false,0,,0,
80610-S9500,real_hk_unseeded,exists,Unknown,Unknown,,Hyundai/Kia,S9,80610,combined,full,200,0.98,False,0,hk_scope_rejected,,0,,,,0,,0,0,0,false,0,,1,This OEM format looks HK-shaped but the prefix is not in the Hyundai/Kia catalog.
51712-CV200,real_hk_seeded,exists,Brakes,Brake Disc - Front,"brake,disc,front",Hyundai,CV,51712,combined,full,200,2.32,False,2,combined,"cache,prefix_inference",0.9975,Brake Disc for Hyundai Staria (2021+),Hyundai,Brakes / Brake Disc,0,,0,0,0,false,0,,0,
51712-H8500,real_hk_seeded,exists,Brakes,Brake Disc - Front,"brake,disc,front",Kia,H8,51712,combined,full,200,2.25,False,2,combined,"exact_oem,legacy",0.7875,DISC - FRONT WHEEL BRAKE,Hyundai / KIA,Suspension / Front Axle,0,,0,0,0,false,0,,0,
82460-J5510,real_hk_seeded,exists,Body,Power Window Motor - Front,"power,window,motor,front",Hyundai/Kia,J5,82460,combined,full,200,2.22,False,2,combined,"exact_oem,legacy",0.7875,"MOTOR ASSY - FRONT POWER WDW,RH",Hyundai / KIA,Body / Glass / Windshield,0,,0,0,0,false,0,,0,
81680-R0000,real_hk_coarse,exists,Body,Weatherstrip & Seal,"weatherstrip,seal",Hyundai/Kia,R0,81680,combined,full,200,3.18,False,1,combined,"cache,exact_oem,legacy",0.937125,MOTOR ASSY - SUNROOF,Hyundai / KIA,Body / Weatherstrip & Seal,0,,0,0,0,false,0,,0,
99211-P1060,real_hk_unseeded,exists,Unknown,Unknown,,Kia,P1,99211,combined,full,200,0.55,False,0,hk_scope_rejected,,0,,,,0,,0,0,0,false,0,,1,This OEM format looks HK-shaped but the prefix is not in the Hyundai/Kia catalog.
92102-M7500,real_hk_seeded,exists,Electrical,Headlight - Front Right,"headlight,front,right",Hyundai/Kia,M7,92102,combined,full,200,4.43,False,1,combined,"cache,prefix_inference",0.9975,Headlight (Rear),Hyundai / KIA,Electrical / Headlight Assembly,0,,0,0,0,false,0,,0,
21950-3X300,real_hk_coarse,exists,Engine,Engine Block & Internals,"engine,block,internals",Hyundai,3X,21950,combined,full,200,2.19,False,2,combined,"cache,prefix_inference",0.9975,Engine Mounting for Hyundai Elantra (2011-2015),Hyundai, / Engine Mounting,0,,0,0,0,false,0,,0,
99250-F6500,real_hk_unseeded,exists,Unknown,Unknown,,Hyundai/Kia,F6,99250,combined,full,200,0.99,False,0,hk_scope_rejected,,0,,,,0,,0,0,0,false,0,,1,This OEM format looks HK-shaped but the prefix is not in the Hyundai/Kia catalog.
92101-DW010,real_hk_seeded,exists,Electrical,Headlight - Front Left,"headlight,front,left",Hyundai/Kia,DW,92101,combined,full,200,4.32,False,1,combined,"prefix_inference,cache",0.9975,Headlight (Front Right),Hyundai / KIA,Electrical / Headlight Assembly,0,,0,0,0,false,0,,0,
87620-AT390,real_hk_coarse,exists,Body,Mouldings & Trim,"mouldings,trim",Hyundai/Kia,AT,87620,combined,full,200,3.17,False,1,combined,"cache,prefix_inference",0.9975,Outside Mirror,Hyundai / KIA, / Outside Mirror,0,,0,0,0,false,0,,0,
20920-2GH07,real_hk_unseeded,exists,Unknown,Unknown,,Kia,2G,20920,combined,full,200,0.6,False,0,hk_scope_rejected,,0,,,,0,,0,0,0,false,0,,1,This OEM format looks HK-shaped but the prefix is not in the Hyundai/Kia catalog.
25100-2M020,real_hk_seeded,exists,Cooling,Water Pump,"water,pump",Hyundai/Kia,2M,25100,combined,full,200,2.18,False,2,combined,"cache,prefix_inference",0.9975,Water Pump (Front Left),Hyundai / KIA,Cooling / Water Pump,0,,0,0,0,false,0,,0,
39210-2S101,real_hk_seeded,exists,Electrical,Oxygen Sensor,"oxygen,sensor",Hyundai,2S,39210,combined,full,200,3.23,False,2,combined,"exact_oem,legacy",0.7875,SENSOR ASSY - OXYGEN,Hyundai / KIA,Electrical / Oxygen Sensor,0,,0,0,0,false,0,,0,
92730-F9000,real_hk_coarse,exists,Electrical,Lighting - Headlights,"lighting,headlights",Hyundai/Kia,F9,92730,combined,full,200,2.23,False,1,combined,"cache,exact_oem,legacy",0.937125,HOLDERASSY - BULB,Hyundai / KIA,Electrical / Lighting - Headlights,1,Mobis:92730F9000,0,0,0,false,0,,0,
20920-2SH02,real_hk_unseeded,exists,Unknown,Unknown,,Hyundai,2S,20920,combined,full,200,1.08,False,0,hk_scope_rejected,,0,,,,0,,0,0,0,false,0,,1,This OEM format looks HK-shaped but the prefix is not in the Hyundai/Kia catalog.
92401-CV050,real_hk_seeded,exists,Electrical,Tail Light - Rear Left,"tail,light,rear,left",Hyundai,CV,92401,combined,full,200,3.17,False,1,combined,"prefix_inference,cache",0.9975,Combination Rearlight for Hyundai Staria (2021+),Hyundai, / Combination Rearlight,0,,0,0,0,false,0,,0,
71110-ATA00,real_hk_coarse,exists,Body,Bumper,bumper,Hyundai/Kia,AT,71110,combined,full,200,2.22,False,1,combined,"cache,exact_oem,legacy",0.937125,"PANEL ASSY - PILLAR OUTER,LH",Hyundai / KIA,Body / Bumper,0,,0,0,0,false,0,,0,
09473-J9000,real_hk_unseeded,exists,Unknown,Unknown,,Hyundai/Kia,J9,09473,combined,full,200,0.52,False,0,hk_scope_rejected,,0,,,,0,,0,0,0,false,0,,1,This OEM format looks HK-shaped but the prefix is not in the Hyundai/Kia catalog.
92101-G5220,real_hk_seeded,exists,Electrical,Headlight - Front Left,"headlight,front,left",Hyundai/Kia,G5,92101,combined,full,200,5.16,False,1,combined,"cache,prefix_inference",0.9975,Headlight,Hyundai / KIA,Electrical / Headlight Assembly,0,,0,0,0,false,0,,0,
66920-P1000,real_hk_coarse,exists,Body,Rear Body / Trunk,"rear,body,trunk",Kia,P1,66920,combined,full,200,2.31,False,1,combined,"cache,exact_oem,legacy",0.937125,"HINGE ASSY - HOOD,RH",Hyundai / KIA,Body / Rear Body / Trunk,0,,0,0,0,false,0,,0,
05203-DW410,real_hk_unseeded,exists,Unknown,Unknown,,Hyundai/Kia,DW,05203,combined,full,200,0.52,False,0,hk_scope_rejected,,0,,,,0,,0,0,0,false,0,,1,This OEM format looks HK-shaped but the prefix is not in the Hyundai/Kia catalog.
58101-L1A70,real_hk_seeded,exists,Brakes,Brake Pad Set - Front,"brake,pad,set,front",Hyundai,L1,58101,combined,full,200,3.34,False,2,combined,"cache,prefix_inference",0.9975,"Brake Pad Set, disc brake for Hyundai Sonata (2020+)",Hyundai,Brakes / Brake Pad Set,0,,0,0,0,false,0,,0,
97853-AO200,real_hk_coarse,exists,HVAC,Air Conditioning & Heating,"air,conditioning,heating",Hyundai/Kia,AO,97853,combined,full,200,3.25,False,2,combined,"cache,prefix_inference",0.9975,"Dryer, air conditioning",Hyundai / KIA," / Dryer, air conditioning",0,,0,0,0,false,0,,0,
09149-R5000,real_hk_unseeded,exists,Unknown,Unknown,,Hyundai/Kia,R5,09149,combined,full,200,0.54,False,0,hk_scope_rejected,,0,,,,0,,0,0,0,false,0,,1,This OEM format looks HK-shaped but the prefix is not in the Hyundai/Kia catalog.
92101-D5040,real_hk_seeded,exists,Electrical,Headlight - Front Left,"headlight,front,left",Hyundai/Kia,D5,92101,combined,full,200,3.29,False,1,combined,"prefix_inference,cache",0.9975,Headlight (Rear Left),Hyundai / KIA,Electrical / Headlight Assembly,0,,0,0,0,false,0,,0,
92102-S9130,real_hk_seeded,exists,Electrical,Headlight - Front Right,"headlight,front,right",Hyundai/Kia,S9,92102,combined,full,200,2.29,False,2,combined,"exact_oem,legacy",0.7875,"LAMP ASSY - HEAD,RH",Hyundai / KIA,Electrical / Headlight Assembly,0,,0,0,0,false,0,,0,
76111-P1000,real_hk_coarse,exists,Body,Window Regulator,"window,regulator",Kia,P1,76111,combined,full,200,3.27,False,0,combined,,0,,,,0,,0,0,0,false,0,,0,
99241-P1250,real_hk_unseeded,exists,Unknown,Unknown,,Kia,P1,99241,combined,full,200,0.47,False,0,hk_scope_rejected,,0,,,,0,,0,0,0,false,0,,1,This OEM format looks HK-shaped but the prefix is not in the Hyundai/Kia catalog.
25310-R0150,real_hk_seeded,exists,Cooling,Radiator,radiator,Hyundai/Kia,R0,25310,combined,full,200,3.22,False,2,combined,"exact_oem,legacy",0.7875,RADIATOR ASSY,Hyundai / KIA,Engine / Fuel Injector,0,,0,0,0,false,0,,0,
92402-Q5510,real_hk_seeded,exists,Electrical,Tail Light - Rear Right,"tail,light,rear,right",Hyundai/Kia,Q5,92402,combined,full,200,4.16,False,1,combined,"cache,prefix_inference",0.9975,Combination Rearlight,Hyundai / KIA, / Combination Rearlight,0,,0,0,0,false,0,,0,
21354-3N450,real_hk_coarse,exists,Engine,Crankshaft & Bearings,"crankshaft,bearings",Hyundai/Kia,3N,21354,combined,full,200,2.22,False,2,combined,"cache,prefix_inference",0.9975,"Gasket, timing case",Hyundai / KIA," / Gasket, timing case",0,,0,0,0,false,0,,0,
80610-L3010,real_hk_unseeded,exists,Unknown,Unknown,,Hyundai/Kia,L3,80610,combined,full,200,0.46,False,0,hk_scope_rejected,,0,,,,0,,0,0,0,false,0,,1,This OEM format looks HK-shaped but the prefix is not in the Hyundai/Kia catalog.
97134-R0000,real_hk_seeded,exists,HVAC,Cabin Air Filter,"cabin,air,filter",Hyundai/Kia,R0,97134,combined,full,200,2.13,False,2,combined,"cache,prefix_inference",0.9975,"Filter, interior air",Hyundai / KIA,HVAC / Cabin Air Filter,0,,0,0,0,false,0,,0,
54650-CH300,real_hk_seeded,exists,Suspension,Shock Absorber - Front,"shock,absorber,front",Hyundai/Kia,CH,54650,combined,full,200,3.22,False,1,combined,"prefix_inference,cache",0.9975,Shock Absorber,Hyundai / KIA,Suspension / Shock Absorber / Strut,0,,0,0,0,false,0,,0,
39118-2B987,real_hk_coarse,exists,Electrical,Sensors & Control,"sensors,control",Hyundai/Kia,2B,39118,combined,full,200,4.1,False,0,combined,,0,,,,0,,0,0,0,false,0,,0,
77121-P1000,real_hk_unseeded,exists,Unknown,Unknown,,Kia,P1,77121,combined,full,200,0.49,False,0,hk_scope_rejected,,0,,,,0,,0,0,0,false,0,,1,This OEM format looks HK-shaped but the prefix is not in the Hyundai/Kia catalog.
92102-S9550,real_hk_seeded,exists,Electrical,Headlight - Front Right,"headlight,front,right",Hyundai/Kia,S9,92102,combined,full,200,3.21,False,1,combined,"prefix_inference,cache",0.9975,Headlight,Hyundai / KIA,Electrical / Headlight Assembly,0,,0,0,0,false,0,,0,
58411-R5000,real_hk_seeded,exists,Brakes,Brake Disc - Rear,"brake,disc,rear",Hyundai/Kia,R5,58411,combined,full,200,3.22,False,1,combined,"prefix_inference,cache",0.9975,Brake Disc,Hyundai / KIA,Brakes / Brake Disc,0,,0,0,0,false,0,,0,
95560-CV000,real_hk_coarse,exists,Electrical,Sensors & Modules,"sensors,modules",Hyundai,CV,95560,combined,full,200,3.16,False,2,combined,"exact_oem,legacy",0.7875,UNIT ASSY - WIRELESS CHARGING,Hyundai / KIA,Electrical / Sensors & Modules,0,,0,0,0,false,0,,0,
99250-S9100,real_hk_unseeded,exists,Unknown,Unknown,,Hyundai/Kia,S9,99250,combined,full,200,1.1,False,0,hk_scope_rejected,,0,,,,0,,0,0,0,false,0,,1,This OEM format looks HK-shaped but the prefix is not in the Hyundai/Kia catalog.
92402-R0010,real_hk_seeded,exists,Electrical,Tail Light - Rear Right,"tail,light,rear,right",Hyundai/Kia,R0,92402,combined,full,200,5.14,False,1,combined,"cache,prefix_inference",0.9975,Combination Rearlight (Front Right),Hyundai / KIA, / Combination Rearlight,0,,0,0,0,false,0,,0,
96122-CV000,real_hk_coarse,exists,Electrical,Battery,battery,Hyundai,CV,96122,combined,full,200,2.25,False,2,combined,"exact_oem,legacy",0.7875,JACK ASSY - USB,Hyundai / KIA,Electrical / Battery,0,,0,0,0,false,0,,0,
99230-CV010,real_hk_unseeded,exists,Unknown,Unknown,,Hyundai,CV,99230,combined,full,200,0.7,False,0,hk_scope_rejected,,0,,,,0,,0,0,0,false,0,,1,This OEM format looks HK-shaped but the prefix is not in the Hyundai/Kia catalog.
25620-L0010,real_hk_seeded,exists,Cooling,Thermostat,thermostat,Hyundai/Kia,L0,25620,combined,full,200,4.23,False,2,combined,"exact_oem,legacy",0.7875,WARMER - A.T.F,Hyundai / KIA,Engine / Fuel System,0,,0,0,0,false,0,,0,
